Wall time,Step,Value
1598538486.3808155,167,1.7486035823822021
1598538580.1722608,474,1.295867681503296
1598538599.6577675,536,1.8024846315383911
1598538609.197697,586,1.7696833610534668
1598538629.0542493,647,1.6176679134368896
1598538884.3582711,1436,2.062967538833618
1598538999.511081,1737,1.3787331581115723
1598539229.238806,2307,1.445777177810669
1598539248.5976946,2389,1.440187692642212
1598539283.1262352,2486,1.6337010860443115
1598539583.224247,3246,1.393636703491211
1598540061.7381182,4492,1.3039004802703857
1598540324.8398857,5134,1.7867474555969238
1598540629.2623093,5907,0.9645830988883972
1598540922.9250855,6699,1.3046226501464844
1598540938.4271042,6711,1.2188663482666016
1598541027.1982436,6966,0.89406418800354
1598541224.2742803,7463,1.0178598165512085
1598541350.448351,7798,1.072094202041626
1598541373.434316,7833,1.1455392837524414
1598541628.3341346,8498,1.058887004852295
1598541928.1955383,9260,0.9064657688140869
1598542009.6622956,9468,0.7729378938674927
1598542370.1911972,10399,1.088050127029419
1598542556.0471053,10905,0.8479884266853333
1598542567.6197433,10966,0.754150927066803
1598542727.3693833,11532,0.7430349588394165
1598542836.404142,11969,0.500968873500824
1598543065.247936,12877,0.5621232986450195
1598543106.9625506,13034,0.6183793544769287
1598543418.3886306,14294,0.7061947584152222
1598543514.0971375,14668,0.6001232266426086
1598543541.8455443,14779,0.5358593463897705
1598543881.456248,16116,0.4848816394805908
1598544067.561082,16857,0.4121439456939697
1598544187.0199344,17317,0.7296615242958069
1598544242.1361015,17543,0.20330438017845154
1598544743.850244,19531,0.19275833666324615
1598544771.0895135,19640,0.2801644206047058
1598544875.7212782,20062,0.32108214497566223
1598544997.0604734,20539,0.14043889939785004
1598545005.5028834,20578,0.29023322463035583
1598545075.4984314,20855,0.2633557915687561
1598545131.0389118,21080,0.08646431565284729
1598545148.6287985,21144,0.21094821393489838
1598545194.0801342,21319,0.28500211238861084
1598545449.98335,22330,0.12790383398532867
1598545455.1988065,22358,0.15412954986095428
1598545689.304561,23286,0.1515428125858307
1598545709.2644148,23361,0.07167939841747284
1598545729.2745101,23427,0.3043684959411621
1598545787.6381626,23670,0.20652762055397034
1598545799.198554,23701,0.12776418030261993
1598545909.0637836,24147,0.15337221324443817
1598545954.5369933,24322,0.16115018725395203
1598546056.039492,24727,0.0699063166975975
1598546107.4482803,24934,0.13127084076404572
1598546186.7748966,25253,0.14233358204364777
1598546572.1633637,26797,0.23514734208583832
1598547123.4216883,28970,0.0754818469285965
1598547128.2481065,28996,0.009746342897415161
1598547342.4186845,29829,0.41712135076522827
1598547503.2197425,30470,0.0976272001862526
1598547541.0501986,30612,0.0468539223074913
1598547565.208954,30706,0.08522851020097733
1598547742.1916919,31406,0.02029605209827423
1598547749.0218687,31443,0.031029358506202698
1598547873.1371968,31936,0.03457953780889511
1598547998.62982,32435,0.006665825843811035
1598548184.927666,33181,0.039050400257110596
1598548326.3806918,33737,0.252398282289505
1598548328.5858579,33749,0.049345701932907104
1598548336.61102,33785,0.030720725655555725
1598548352.4211156,33839,0.0649435892701149
1598548359.3011065,33876,0.09502711147069931
1598548373.2936425,33913,0.04708845913410187
1598548482.720221,34362,0.0332942008972168
1598548526.4371843,34525,0.07255737483501434
1598548541.360647,34599,0.06174234300851822
1598548769.680626,35483,0.03794841468334198
1598548894.3879304,35953,0.07716809958219528
1598548916.912736,36037,0.0594584196805954
1598549072.1723928,36629,0.02363458275794983
1598549077.8171582,36659,0.05772986263036728
1598549127.8177314,36850,0.021422550082206726
1598549222.024201,37202,0.046009235084056854
1598549289.3678694,37489,0.06213214993476868
1598549360.0629122,37764,0.0158814936876297
1598549387.9379694,37876,0.027036093175411224
1598549604.6753774,38720,0.01192823052406311
1598549633.7197447,38840,0.07342668622732162
1598549745.9283872,39296,0.038531139492988586
1598549852.0476952,39702,0.020774930715560913
1598550169.5931356,40793,0.056908056139945984
1598550352.7982419,41271,0.27567267417907715
1598550696.3610816,42134,0.05997206270694733
1598550825.889141,42468,0.06071747839450836
1598551276.0262506,43639,0.012497112154960632
1598551309.5022418,43711,0.03324388712644577
1598551347.084799,43805,0.02972656488418579
1598551406.630282,43993,0.00996522605419159
1598551490.8662536,44200,0.0037797540426254272
1598551515.1862464,44251,0.025247707962989807
1598551539.6316202,44304,0.027917243540287018
1598551731.6642485,44816,0.02542366087436676
1598551788.7582204,44964,0.04230262339115143
1598551948.0667334,45372,2.528958797454834
1598552006.709402,45507,0.04927466809749603
1598552054.811545,45658,0.04190558195114136
1598552322.9237125,46334,0.05579972267150879
1598552354.9893854,46413,0.01763397455215454
1598552864.3644745,47744,0.003851383924484253
1598552953.7103662,47970,0.011806026101112366
1598553031.5742369,48181,0.0859854519367218
1598553457.750378,49272,0.005209743976593018
1598553759.642474,50056,0.046259693801403046
1598554051.7047458,50819,0.012061163783073425
1598554175.5025806,51134,0.011662349104881287
1598554212.4141245,51227,0.00571085512638092
1598554428.2690878,51798,0.011163011193275452
1598554862.72818,52906,0.027293607592582703
1598554931.9783525,53092,0.0197526216506958
1598555076.4138544,53468,0.03923361003398895
1598555229.1183913,53862,0.016335248947143555
1598555607.4616876,54807,0.008555442094802856
1598556190.7200124,56337,0.02048957347869873
1598556264.7441335,56521,0.14438827335834503
1598556377.638239,56820,0.0078134685754776
1598557096.0233462,58719,0.008656054735183716
1598557103.6379845,58746,0.006517171859741211
1598557108.054139,58763,0.003236815333366394
1598557651.1868043,60179,0.00904536247253418
1598557652.4507334,60185,0.006840169429779053
1598557766.3182306,60475,0.01278524100780487
1598558415.8429737,62139,0.0038244128227233887
1598558578.759655,62547,0.01953776180744171
1598559013.7905748,63671,0.09599192440509796
1598559345.5965385,64521,0.007723525166511536
1598559778.6399133,65643,0.1047959178686142
1598560203.4685655,66787,0.012212306261062622
1598560304.756883,67021,0.11005432903766632
1598560463.008819,67440,0.06769049167633057
1598561123.8181684,69185,0.004417002201080322
1598561226.1914463,69455,0.02579571306705475
1598561333.3982086,69719,0.015221774578094482
1598561406.7334623,69915,0.018186703324317932
1598561609.2733502,70462,0.018835008144378662
1598561652.931975,70580,0.0020745545625686646
1598561683.575259,70656,0.02413944900035858
1598561813.2091799,70996,0.036111533641815186
1598561990.0321887,71428,0.03750784695148468
1598562178.1505456,71906,0.27436551451683044
1598562191.2816074,71957,0.0030788779258728027
1598562196.5937474,71979,0.0037320703268051147
1598562216.298441,72012,0.013312429189682007
1598562494.7679603,72723,0.0192081481218338
1598562608.6462502,73009,0.020837649703025818
1598563554.2293806,75487,0.03484506905078888
1598563857.287494,76218,0.04784667491912842
1598564151.3186214,76906,0.0017378032207489014
1598564152.7862513,76913,0.11627861857414246
1598564652.7159226,78208,0.0025232136249542236
1598564927.953161,78920,0.0007208585739135742
1598564944.0062766,78973,0.05724354088306427
1598564960.4300027,79005,0.1532084345817566
1598565482.1912227,80390,0.0014444291591644287
1598565587.0589921,80613,0.05495047569274902
1598565716.6830392,80996,0.013234198093414307
1598565735.9622817,81015,0.011683672666549683
1598566589.3302467,83267,0.019476696848869324
1598567026.2626414,84409,0.008406206965446472
1598567096.2655604,84601,0.001408994197845459
1598567272.8463197,85089,0.06409627199172974
1598567632.0862532,86014,0.010219290852546692
1598567912.5286102,86780,0.008255362510681152
1598567944.7430298,86865,0.021764367818832397
1598568013.2058756,87008,0.1159680038690567
1598568140.6774762,87393,0.01744651049375534
1598568433.5633688,88137,0.034275516867637634
1598568643.450315,88674,0.003928050398826599
1598568898.5443249,89347,0.010123342275619507
1598568902.7675538,89363,0.0011726468801498413
1598569147.1115649,89973,0.0006988048553466797
1598569248.1153808,90237,0.09557268023490906
1598569654.4035509,91300,0.02096100151538849
1598569783.842252,91624,0.0040192753076553345
1598569791.0119212,91647,0.0010402798652648926
1598569974.8928068,92120,0.0033320635557174683
1598570402.1582377,93223,0.025825247168540955
1598570489.2254927,93471,0.008212044835090637
1598570664.8664124,93901,0.019827187061309814
1598570993.457542,94784,0.0005531907081604004
1598571107.3179994,95057,0.002134948968887329
1598571230.345134,95377,0.0006688535213470459
1598571267.1462677,95480,0.04066551476716995
1598571592.2642703,96301,0.015086740255355835
1598572237.5062976,97986,0.011930733919143677
1598572425.1247582,98474,0.004966124892234802
1598572656.274266,99055,0.006331577897071838
1598572971.1417625,99884,0.002446994185447693
1598573345.5062764,100858,0.006532937288284302
1598573424.608131,101072,0.001914292573928833
1598573528.0662653,101335,0.01832135021686554
1598573757.9068115,101923,0.013692378997802734
1598573763.5858436,101943,0.008637338876724243
1598574122.5153174,102880,0.002279326319694519
1598574138.657401,102911,0.0030418336391448975
1598574149.5653744,102966,0.012967467308044434
1598574169.71838,103001,0.0033467262983322144
1598574171.8063166,103011,0.013679027557373047
1598574530.6803706,103947,0.004614129662513733
1598574652.3062758,104276,0.0022181719541549683
1598574676.186435,104334,0.005802348256111145
1598574892.5856507,104896,0.0016221404075622559
1598574912.467037,104924,0.0024565905332565308
1598574967.0101135,105093,0.005887970328330994
1598575107.5982535,105434,0.002137988805770874
1598575235.3140342,105774,0.010709166526794434
1598575424.5943449,106267,0.0028970539569854736
1598575535.55827,106566,0.0016516447067260742
1598576036.1742806,107837,0.0015637576580047607
1598576312.9350152,108586,0.005528956651687622
1598576948.7588232,110224,0.005841925740242004
1598577019.6073627,110418,0.006262391805648804
1598577102.4888916,110641,0.0016809701919555664
1598577362.9645984,111323,0.0019429773092269897
1598577501.9005337,111698,0.05143800377845764
1598577970.9629622,112902,0.004954800009727478
1598578126.2262502,113322,0.004860430955886841
1598578284.809723,113741,0.014474913477897644
1598578366.789793,113980,0.003107041120529175
1598578483.267402,114292,0.0025427788496017456
1598578785.8005526,115096,0.0024584978818893433
1598578950.5933714,115506,0.0010184794664382935
1598578953.0542667,115518,0.002392306923866272
1598579085.4004946,115878,0.025006428360939026
1598579390.0076165,116673,0.005245789885520935
1598579408.6422415,116711,0.0003668069839477539
1598579424.4422276,116783,0.010430335998535156
1598579531.6013753,117047,0.04556097090244293
1598579753.424841,117635,0.0034170597791671753
1598579830.4797413,117825,0.0003880411386489868
1598579876.1731043,117941,0.005176559090614319
1598579962.9982207,118190,0.005421802401542664
1598581106.9124608,121192,0.1620509922504425
1598581107.112044,121193,0.0033298879861831665
1598581170.138329,121332,0.0014127790927886963
1598581199.7272677,121403,0.10395738482475281
1598581362.3542194,121835,0.001871258020401001
1598581511.8741698,122205,0.021995514631271362
1598581668.4062304,122622,0.006916999816894531
1598581671.5546699,122634,0.0023671239614486694
1598581832.848003,123068,0.03309756517410278
1598582057.2498968,123666,0.004058659076690674
1598582252.7077894,124197,0.0006614029407501221
1598582662.044576,125290,0.0009326934814453125
1598583534.495055,127542,0.0032012909650802612
1598583569.3541567,127637,0.026475340127944946
1598584141.6622267,129146,0.002719208598136902
1598584211.5462492,129318,0.0016610324382781982
1598584243.7889056,129406,0.002852022647857666
1598584280.3036742,129502,0.007704898715019226
1598584493.2091184,130071,0.13753391802310944
1598585107.4108357,131680,0.0036657899618148804
1598585181.9647262,131876,0.0011903941631317139
1598585943.9022758,133860,0.00016129016876220703
1598586142.0105681,134376,0.0003968477249145508
1598586144.7251108,134389,0.0006434768438339233
1598586180.6942034,134474,0.043902039527893066
1598586335.5339067,134877,0.010790601372718811
1598586625.7502415,135615,0.00029480457305908203
1598586855.984322,136209,0.0026251673698425293
1598587022.462254,136673,0.006812393665313721
1598587024.685013,136678,0.004338115453720093
1598587170.38576,137055,0.001109883189201355
1598587365.4528098,137565,0.005729973316192627
1598587892.364373,138939,0.006743907928466797
1598588013.5717883,139258,0.033255577087402344
1598588074.9612558,139403,0.007304102182388306
1598588087.1062934,139449,0.00378987193107605
1598588284.632943,139975,0.0034275799989700317
1598588306.9982548,140015,0.0018087178468704224
1598588316.6542256,140045,0.003937214612960815
1598588319.948025,140055,0.008482813835144043
1598588351.8102431,140131,0.011042959988117218
1598588582.6382847,140750,0.004020705819129944
1598588676.4766636,140989,0.001132383942604065
1598588771.631166,141222,0.0021338164806365967
1598589018.7963917,141889,0.0023850053548812866
1598589140.4107323,142196,0.0004996061325073242
1598589140.5942662,142197,0.0017135292291641235
1598589356.3302684,142751,0.0014741569757461548
1598589411.0917938,142892,0.000918462872505188
1598589522.1834056,143186,0.0011114180088043213
1598589813.4650507,143918,0.003212764859199524
1598589931.8728342,144226,0.01969720423221588
1598589948.0143552,144285,0.0013954639434814453
1598589993.4212704,144404,0.0028859227895736694
1598590677.771412,146312,0.04195590317249298
1598590770.8675535,146696,0.00115165114402771
1598590973.590144,147491,0.0012059807777404785
1598591148.2396333,148189,0.1121792122721672
1598591258.4629889,148604,0.00324210524559021
1598591271.2667391,148673,0.08630078285932541
1598591272.0061991,148677,0.0028184056282043457
1598591468.8577116,149442,0.0009939372539520264
1598591528.2029395,149683,0.0009634494781494141
1598591579.3964963,149886,0.0013550221920013428
1598591805.2709904,150758,0.007085084915161133
1598591830.9888785,150863,0.0031422078609466553
1598591879.5275927,151042,0.0874241292476654
1598591882.130247,151056,0.002942293882369995
1598591888.830813,151092,0.0002971142530441284
1598591902.8335521,151133,0.0023168325424194336
1598591928.0851789,151227,0.0007513314485549927
1598591937.2153938,151276,0.0007385015487670898
1598592007.9225771,151543,0.0007345825433731079
1598592257.5861323,152523,0.012383908033370972
1598592316.8197777,152766,0.0010275989770889282
1598592925.7520678,155189,0.0032278448343276978
1598593024.9748304,155584,0.02050207555294037
1598593063.092845,155720,0.009859487414360046
1598593065.873614,155735,0.013253897428512573
1598593295.9981177,156652,0.004796907305717468
1598593400.0071075,157064,0.00036115944385528564
1598593418.171752,157130,0.029427990317344666
1598593494.185942,157430,0.0016250461339950562
1598593543.8960657,157623,0.003458768129348755
1598594003.1395736,159408,0.005914792418479919
1598594092.982744,159779,0.022647395730018616
1598594206.326956,160202,0.010596811771392822
1598594215.5959363,160252,0.0019073635339736938
1598594261.4506333,160424,0.01787152886390686
1598594334.8799021,160708,0.0028422772884368896
1598594445.9157414,161159,0.0003555417060852051
1598594451.1125975,161187,0.002626284956932068
1598594497.194408,161364,0.06151140481233597
1598594646.5542355,161950,0.007147595286369324
1598594714.6623406,162206,0.004019781947135925
1598594805.2069979,162583,0.0012646317481994629
1598594856.47709,162789,0.0066547691822052
1598594985.5203795,163296,0.0008426755666732788
1598595324.3727891,164622,0.0015947222709655762
1598595534.52543,165463,0.0011890530586242676
1598595566.567428,165597,0.024200260639190674
1598595618.0611026,165800,0.006329149007797241
1598595744.6158879,166298,0.00048166513442993164
1598595983.9222755,167234,0.0018129050731658936
1598596020.9751525,167396,0.003990918397903442
1598596086.3191082,167644,0.0017645806074142456
1598596187.3509412,168037,0.029881805181503296
1598596607.096785,169323,0.0027841776609420776
1598596695.800488,169554,0.038096457719802856
1598596810.407498,169873,0.02230048179626465
1598596854.4130487,169963,0.001828029751777649
1598596933.8933663,170188,0.0031242817640304565
1598597055.47302,170495,0.003558933734893799
1598597329.989198,171212,0.03077893704175949
1598597481.5821607,171620,0.0298774391412735
1598597494.7888863,171659,0.062473855912685394
1598597498.1422255,171669,0.0020731836557388306
1598597982.1142664,172972,0.005031675100326538
1598598032.010244,173093,0.0005972236394882202
1598598063.7550323,173174,0.0012127161026000977
1598598215.7182515,173556,0.0004037320613861084
1598598279.6266258,173745,0.0017874538898468018
1598598548.8377173,174414,0.0002550482749938965
1598598631.150253,174647,0.0014900565147399902
1598599362.1841574,176583,0.001489013433456421
1598599824.7263012,177777,0.0020796507596969604
1598599977.3351943,178192,0.0010733455419540405
1598600159.722098,178661,0.01669570803642273
1598600182.8371575,178701,0.012053191661834717
1598600357.013243,179196,0.00035643577575683594
1598600653.2731209,179966,0.006337359547615051
1598600792.369251,180315,0.0016787946224212646
1598601066.2689178,181049,0.0006939470767974854
1598601098.8169105,181108,0.0030031204223632812
1598601224.8280616,181463,0.00024750828742980957
1598601303.7597027,181636,0.0008102655410766602
1598601471.9920385,182087,0.0042461007833480835
1598601769.3486578,182835,0.0008159279823303223
1598601808.1862354,182944,0.01830732822418213
1598601809.2262485,182949,0.027003034949302673
1598601914.454228,183224,0.005437523126602173
1598601927.8691385,183271,0.0011186301708221436
1598602003.061155,183486,0.0003407895565032959
1598602042.8984454,183598,0.0004326552152633667
1598602484.1755295,184745,0.00048279762268066406
1598602601.3653128,185058,0.0024995803833007812
1598602969.7723503,186005,0.00019913911819458008
1598603054.269292,186232,0.0030780285596847534
1598603227.988749,186688,0.0007634609937667847
1598603379.2770529,187090,0.00047466158866882324
1598603402.0805812,187140,0.011750340461730957
1598603602.3381958,187674,0.0024595260620117188
1598603709.6609251,187943,0.002580016851425171
1598603720.6377203,187989,0.0007345080375671387
1598604204.6982613,189259,0.0013224780559539795
1598604229.8577304,189322,0.022957801818847656
1598604458.3959372,189933,0.0038239657878875732
1598604613.422247,190338,0.004427403211593628
1598604652.5264838,190442,0.004414737224578857
1598605332.4079816,192215,0.004054278135299683
1598606240.0243657,194621,0.002421736717224121
1598606491.5336974,195297,0.0014792084693908691
1598606528.572497,195400,0.00435386598110199
1598606621.024781,195619,0.0017754733562469482
1598607039.3460925,196726,0.0012799501419067383
1598607053.928627,196776,0.00526215136051178
1598607618.3674276,198201,0.0020075589418411255
1598607850.7423654,198851,0.0007247328758239746
1598607852.070238,198855,0.0018408000469207764
1598608013.949123,199287,0.004777401685714722
1598608157.1342988,199662,0.00045993924140930176
1598608377.1819477,200211,0.0010448694229125977
1598608829.266315,201401,0.031702131032943726
1598608971.3377075,201785,0.0004087984561920166
1598609034.204647,201920,0.005501911044120789
1598609428.3863246,202969,0.0011848658323287964
1598610118.343381,204753,0.0068979412317276
1598610384.5019774,205432,0.0012200474739074707
1598610643.9663875,206110,0.0002866089344024658
1598610994.9979026,207050,0.06265725195407867
1598611218.5863347,207609,0.00034120678901672363
1598611648.038268,208748,0.0002402663230895996
1598611719.321932,208934,0.001201435923576355
1598612113.6272385,209988,0.0005740225315093994
1598612189.9769313,210191,0.004031151533126831
1598612594.6262288,211241,0.0016776621341705322
1598612762.949344,211696,0.12476524710655212
1598613297.9211683,213099,0.0016754567623138428
1598613329.080876,213176,0.0018175989389419556
1598613597.8272548,213867,0.0013311505317687988
1598613680.0262892,214085,0.006210461258888245
1598613701.6448715,214120,0.0008395016193389893
1598613887.8720899,214610,0.0006916821002960205
1598613930.7849922,214727,0.0004640817642211914
1598614159.644421,215330,0.0008215904235839844
1598614393.6611655,215953,0.0021464526653289795
1598614425.0050387,216023,0.09384544938802719
1598614433.852485,216052,0.001006990671157837
1598615135.1959178,217867,0.004418298602104187
1598615272.5736556,218220,0.00028458237648010254
1598615281.1280203,218243,0.008975788950920105
1598615779.161855,219514,0.00023370981216430664
1598615865.2587464,219790,0.0021880269050598145
1598615900.0665858,219861,0.008150845766067505
1598616050.191607,220265,0.00168512761592865
1598616277.0232246,220837,0.000514984130859375
1598616439.524094,221270,0.0010421723127365112
1598616704.185161,221948,0.01607164740562439
1598616747.613657,222044,0.0002534240484237671
1598617314.0543237,223537,0.0005677938461303711
1598617815.94446,224845,0.0029633641242980957
1598617958.2470136,225204,0.0003012716770172119
1598618359.01824,226247,0.00328238308429718
1598618388.6894457,226345,0.0025392621755599976
1598618391.1740422,226357,0.08424454927444458
1598618806.9942377,227411,0.0007418394088745117
1598619009.4289958,227965,0.0012597143650054932
1598619009.8075936,227967,0.03337100148200989
