Wall time,Step,Value
1598549289.3690672,37489,0.96875
1598549360.0641053,37764,1.0
1598549387.939119,37876,1.0
1598549604.6766043,38720,1.0
1598549633.7207587,38840,1.0
1598549745.9294217,39296,0.96875
1598549852.0487278,39702,1.0
1598550169.5945253,40793,0.96875
1598550352.7993374,41271,0.90625
1598550696.3625278,42134,0.96875
1598550825.9227338,42468,0.96875
1598551276.0275884,43639,1.0
1598551309.50361,43711,1.0
1598551347.0860856,43805,1.0
1598551406.6315837,43993,1.0
1598551490.8678815,44200,1.0
1598551515.1874993,44251,1.0
1598551539.6331592,44304,1.0
1598551731.6723344,44816,1.0
1598551788.7668533,44964,1.0
1598551948.0677044,45372,0.5
1598552006.711145,45507,0.96875
1598552054.8152063,45658,1.0
1598552322.9255488,46334,1.0
1598552355.005705,46413,1.0
1598552864.3711426,47744,1.0
1598552953.7116473,47970,1.0
1598553031.5754979,48181,0.96875
1598553457.7515886,49272,1.0
1598553759.6437886,50056,1.0
1598554051.7058358,50819,1.0
1598554175.5044942,51134,1.0
1598554212.4152005,51227,1.0
1598554428.2707157,51798,1.0
1598554862.731619,52906,1.0
1598554931.9798625,53092,1.0
1598555076.415832,53468,0.96875
1598555229.1194537,53862,1.0
1598555607.4710872,54807,1.0
1598556190.7207768,56337,1.0
1598556264.746037,56521,0.90625
1598556377.6391363,56820,1.0
1598557096.0247781,58719,1.0
1598557103.6470833,58746,1.0
1598557108.0551643,58763,1.0
1598557651.199851,60179,1.0
1598557652.4521034,60185,1.0
1598557766.3195138,60475,1.0
1598558415.8443952,62139,1.0
1598558578.7671146,62547,1.0
1598559013.7915363,63671,0.96875
1598559345.5977788,64521,1.0
1598559778.6424112,65643,0.9375
1598560203.4705667,66787,1.0
1598560304.7588897,67021,0.96875
1598560463.0166411,67440,0.96875
1598561123.8201196,69185,1.0
1598561226.1926308,69455,1.0
1598561333.3996403,69719,1.0
1598561406.7348733,69915,1.0
1598561609.2759554,70462,1.0
1598561652.9360688,70580,1.0
1598561683.5906162,70656,1.0
1598561813.2105305,70996,1.0
1598561990.0336237,71428,0.96875
1598562178.1552134,71906,0.90625
1598562191.2873225,71957,1.0
1598562196.5964398,71979,1.0
1598562216.2998533,72012,1.0
1598562494.7796686,72723,1.0
1598562608.6477118,73009,1.0
1598563554.2326026,75487,0.96875
1598563857.293924,76218,1.0
1598564151.3196056,76906,1.0
1598564152.8025115,76913,0.96875
1598564652.7174132,78208,1.0
1598564927.962416,78920,1.0
1598564944.0073004,78973,0.96875
1598564960.43095,79005,0.96875
1598565482.1921418,80390,1.0
